date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:49	724097/724097	---M--	200	added ('OK')	image/png	etag:%22b0c81-5cc2418c60a88%22	https://mobidrive.com.br/assets/img/gallery/gallery-6.png	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/img/gallery/gallery-6.png	(from https://mobidrive.com.br/)
18:05:49	390135/390135	---M--	200	added ('OK')	image/png	etag:%225f3f7-5cc2418d0c4a0%22	https://mobidrive.com.br/assets/img/gallery/gallery-7.png	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/img/gallery/gallery-7.png	(from https://mobidrive.com.br/)
18:05:49	369638/369638	---M--	200	added ('OK')	image/png	etag:%225a3e6-5cc2418997478%22	https://mobidrive.com.br/assets/img/gallery/gallery-10.png	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/img/gallery/gallery-10.png	(from https://mobidrive.com.br/)
18:05:50	286776/286776	---M--	200	added ('OK')	image/png	etag:%2246038-5cc2418d61bd0%22	https://mobidrive.com.br/assets/img/gallery/gallery-9.png	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/img/gallery/gallery-9.png	(from https://mobidrive.com.br/)
18:05:50	46059/46059	---M--	200	added ('OK')	image/jpeg	etag:%22b3eb-5cc2418dc6d00%22	https://mobidrive.com.br/assets/img/testimonials/testimonials-1.jpg	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/img/testimonials/testimonials-1.jpg	(from https://mobidrive.com.br/)
18:05:50	618847/618847	---M--	200	added ('OK')	image/png	etag:%229715f-5cc2418a91c48%22	https://mobidrive.com.br/assets/img/gallery/gallery-11.png	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/img/gallery/gallery-11.png	(from https://mobidrive.com.br/)
18:05:50	58775/58775	---M--	200	added ('OK')	image/jpeg	etag:%22e597-5cc2418e09380%22	https://mobidrive.com.br/assets/img/testimonials/testimonials-2.jpg	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/img/testimonials/testimonials-2.jpg	(from https://mobidrive.com.br/)
18:05:50	35290/35290	---M--	200	added ('OK')	image/jpeg	etag:%2289da-5cc2418e7b7a0%22	https://mobidrive.com.br/assets/img/testimonials/testimonials-3.jpg	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/img/testimonials/testimonials-3.jpg	(from https://mobidrive.com.br/)
18:05:50	20220/20220	---M--	200	added ('OK')	image/jpeg	etag:%224efc-5cc2418e45858%22	https://mobidrive.com.br/assets/img/testimonials/testimonials-4.jpg	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/img/testimonials/testimonials-4.jpg	(from https://mobidrive.com.br/)
18:05:50	22595/22595	---M--	200	added ('OK')	image/jpeg	etag:%225843-5cc2418e809a8%22	https://mobidrive.com.br/assets/img/testimonials/testimonials-5.jpg	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/img/testimonials/testimonials-5.jpg	(from https://mobidrive.com.br/)
18:05:51	8880/8880	---M--	200	added ('OK')	text/html	etag:%2222b0-5cc241a6bf258%22	https://mobidrive.com.br/plano-premium/	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/plano-premium/index.html	(from https://mobidrive.com.br/)
18:05:51	8886/8886	---M--	200	added ('OK')	text/html	etag:%2222b6-5cc241a611ce8%22	https://mobidrive.com.br/plano-advanced/	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/plano-advanced/index.html	(from https://mobidrive.com.br/)
